iter	Passed	Remaining
877	3141	436
878	3143	432
879	3151	429
880	3154	426
881	3156	422
882	3158	418
883	3161	414
884	3165	411
885	3169	407
886	3173	404
887	3176	400
888	3180	397
889	3183	393
890	3186	389
891	3189	386
892	3191	382
893	3198	379
894	3200	375
895	3202	371
896	3205	368
897	3207	364
898	3214	361
899	3216	357
900	3220	353
901	3222	350
902	3228	346
903	3230	343
904	3233	339
905	3235	335
906	3238	332
907	3244	328
908	3247	325
909	3249	321
910	3251	317
911	3254	314
912	3260	310
913	3263	307
914	3265	303
915	3267	299
916	3269	295
917	3273	292
918	3275	288
919	3277	285
920	3279	281
921	3281	277
922	3283	273
923	3285	270
924	3291	266
925	3293	263
926	3295	259
927	3296	255
928	3298	252
929	3300	248
930	3306	245
931	3308	241
932	3310	237
933	3311	234
934	3313	230
935	3315	226
936	3320	223
937	3322	219
938	3324	215
939	3326	212
940	3328	208
941	3330	205
942	3332	201
943	3339	198
944	3342	194
945	3343	190
946	3345	187
947	3347	183
948	3353	180
949	3355	176
950	3357	172
951	3359	169
952	3361	165
953	3364	162
954	3366	158
955	3368	155
956	3370	151
957	3372	147
958	3374	144
959	3376	140
960	3383	137
961	3385	133
962	3388	130
963	3390	126
964	3392	123
965	3395	119
966	3396	115
967	3398	112
968	3400	108
969	3402	105
970	3404	101
971	3408	98
972	3410	94
973	3412	91
974	3414	87
975	3416	84
976	3418	80
977	3424	77
978	3426	73
979	3428	69
980	3430	66
981	3432	62
982	3434	59
983	3439	55
984	3441	52
985	3443	48
986	3445	45
987	3447	41
988	3449	38
989	3454	34
990	3456	31
991	3458	27
992	3460	24
993	3462	20
994	3464	17
995	3465	13
996	3472	10
997	3474	6
998	3476	3
999	3478	0
